YS-BA-088,15,,,,A,ES,8,42,67,19,97,,DIR,32,2,
YS-BA-070,7,67,,,A,ES,8,42,97,77,28,,DIR,33,1,
YS-BA-070,88,58,,,A,ES,67,27,81,13,28,,DIR,33,1,
YS-BA-070,67,7,,,A,ES,8,27,81,88,19,,DIR,33,1,
YS-BA-070,12,26,91,,A,ES,8,42,19,97,77,,DIR,33,1,
YS-BA-070,67,12,,,A,ES,19,12,67,18,91,,DIR,32,2,
YS-BA-070,73,7,4,,A,ES,43,8,19,81,88,,DIR,32,3,
YS-BA-070,97,28,,,F,ES,8,97,77,42,28,,DIR,1,2,
ST-BA-004,81,18,67,,F,ES,42,67,28,18,12,,REB,32,2,
ST-BA-004,12,28,,,F,ES,28,42,12,67,18,,DIR,32,2,
ST-BA-004,87,27,42,,F,ES,28,42,97,13,27,,REB,32,2,
ST-BA-004,67,12,,,F,ES,67,28,12,91,18,,DIR,32,2,
ST-BA-004,28,19,,,F,ES,8,28,19,18,81,,DIR,32,3,
ST-BA-004,28,91,,,F,ES,28,91,81,88,42,,DIR,32,3,
ST-BA-004,96,9,,,A,ES,97,91,42,27,28,,DIR,32,2,
ST-BA-004,82,93,28,,A,ES,18,42,67,12,19,,REB,32,2,
ST-BA-004,16,6,,,A,ES,97,42,91,67,27,,REB,32,3,
ST-BA-004,34,93,97,,A,ES,42,19,91,12,28,,REB,32,3,
ST-BA-004,82,16,93,,A,ES,8,27,67,97,13,,DIR,32,3,
ST-BA-012,28,8,,,F,ES,27,91,67,28,12,,DIR,1,1,
ST-BA-012,88,28,18,,F,ES,8,18,28,88,81,,DIR,1,2,
ST-BA-012,12,28,19,,F,ES,91,12,19,18,28,,DIR,1,2,
ST-BA-012,42,97,,,F,ES,8,97,28,13,42,,DIR,1,2,
ST-BA-012,19,,,,F,ES,13,91,97,19,88,,DIR,1,3,
ST-BA-012,21,11,,,A,ES,18,13,12,97,19,,DIR,33,3,
ST-BA-018,28,13,,,F,ES,27,13,28,88,81,,DIR,20,1,
ST-BA-018,28,8,,,F,ES,28,97,18,27,42,,DEK,20,1,
ST-BA-018,42,27,88,,F,ES,13,28,97,42,27,,DIR,20,1,
ST-BA-018,18,67,12,,F,ES,18,67,8,12,28,,DIR,20,2,
ST-BA-018,97,19,,,F,ES,8,97,18,19,12,,DIR,20,2,
ST-BA-018,2,9,7,,A,ES,42,97,67,27,91,,DIR,32,2,
ST-BA-Q01,19,8,,,F,ES,8,19,42,88,91,,DIR,22,2,
ST-BA-Q01,97,27,19,,F,ES,27,97,12,18,28,,DIR,22,2,
ST-BA-Q01,58,56,,,A,ES,81,13,18,97,19,,REB,33,1,
ST-BA-Q01,56,42,28,,A,ES,8,12,67,18,28,,DIR,33,2,
ST-BA-Q01,0,,,,F,ES,,,,,,,SO,22,3,
ST-BA-S01,91,97,28,,F,ES,28,27,97,19,91,,DIR,31,1,
ST-BA-S01,81,28,97,,F,ES,8,28,81,27,88,,DIR,31,1,
ST-BA-S01,27,88,,,F,ES,91,27,42,67,88,,DIR,31,2,
ST-BA-S01,19,28,,,F,ES,19,28,,,,,DIR,31,3,
ST-BA-S01,56,6,,,A,ES,12,67,28,91,18,,DIR,32,2,
ST-BA-S01,44,3,,,A,ES,8,13,81,19,,,DIR,32,3,
ST-BA-S01,44,15,3,,A,ES,91,67,97,13,19,,DIR,32,3,
ST-BA-F01,67,97,,,F,ES,97,19,27,67,91,,DIR,31,1,
ST-BA-F01,12,13,,,F,ES,12,27,67,13,81,,DIR,31,1,
ST-BA-F01,97,81,19,,F,ES,8,27,67,81,19,,DIR,31,1,
ST-BA-F01,28,19,,,F,ES,28,19,13,8,12,,DIR,31,1,
ST-BA-F01,28,42,13,,F,ES,13,8,12,81,28,,DIR,31,2,
ST-BA-F01,28,81,,,F,ES,28,67,27,13,81,,DEK,31,2,
ST-BA-F01,28,8,,,F,ES,8,28,91,88,42,,DIR,31,3,
YS-BA-073,67,,,,F,ES,67,18,91,19,88,,DEK,35,2,
YS-BA-073,28,27,,,F,ES,28,42,13,27,97,,DEK,35,2,
YS-BA-073,19,,,,F,ES,8,97,42,19,13,,DIR,35,3,
YS-BA-073,28,91,,,F,ES,91,88,8,,,,DIR,35,3,
YS-BA-073,7,12,16,,A,ES,91,19,18,28,88,,REB,32,1,
YS-BA-073,10,84,33,,A,ES,18,97,42,27,28,,DIR,32,1,
YS-BA-099,27,18,28,,F,PP,27,18,28,12,77,,DIR,26,3,
YS-BA-099,19,,,,A,ES,8,13,42,12,77,,DIR,33,1,
YS-BA-099,11,13,19,,A,ES,91,19,27,88,42,,REB,33,2,
YS-BA-099,64,2,,,A,ES,8,13,28,12,81,,DIR,33,3,
YS-BA-099,98,,,,A,SH,67,13,81,91,,,REB,33,3,
YS-BA-129,12,13,,,F,SH,12,13,97,27,,,DEK,26,1,
